id,key,value,type
16237804,maxspeed,50,regular
16237804,conditional,60 @ (23:00-05:00),maxspeed
16237804,name,Oławska,regular
16237804,oneway,yes,regular
16237804,maxspeed,PL:urban,source
16237804,surface,asphalt,regular
16237805,highway,secondary,regular
16237805,lanes,3,regular
16237805,maxspeed,50,regular
16237805,conditional,60 @ (23:00-05:00),maxspeed
16237805,name,Kazimierza Wielkiego,regular
16237805,oneway,yes,regular
16237805,maxspeed,PL:urban,source
16237805,surface,asphalt,regular
16237807,bicycle,no,regular
16237807,bridge,yes,regular
16237807,highway,secondary,regular
16237807,lanes,2,regular
16237807,layer,1,regular
16237807,maxspeed,50,regular
16237807,conditional,60 @ (23:00-05:00),maxspeed
16237807,maxweight,10,regular
16237807,oneway,yes,regular
16237807,maxspeed,PL:urban,source
16237807,maxweight,sign,source
16237807,maxweight,https://www.flickr.com/photos/124589265@N07/14066825677,source_ref
16237807,surface,asphalt,regular
16237809,highway,secondary,regular
16237809,lanes,2,regular
16237809,maxspeed,40,regular
16237809,name,Plac Powstańców Warszawy,regular
16237809,oneway,yes,regular
16237809,surface,asphalt,regular
16237810,highway,secondary_link,regular
16237810,lanes,1,regular
16237810,maxspeed,50,regular
16237810,conditional,60 @ (23:00-05:00),maxspeed
16237810,oneway,yes,regular
16237810,maxspeed,PL:urban,source
16237810,surface,asphalt,regular
16237811,lanes,yes|yes|designated,bus
16237811,highway,secondary,regular
16237811,lanes,3,regular
16237811,bus,1,lanes
16237811,maxspeed,50,regular
16237811,name,Plac Jana Pawła II,regular
16237811,oneway,yes,regular
16237811,source,Ortofotomapa_Wroclaw,regular
16237811,maxspeed,PL:urban,source
16237811,surface,asphalt,regular
16237811,lanes,yes|yes|no,vehicle
16237812,lanes,no|yes|designated,bicycle
16237812,lanes,designated|yes|no,bus
16237812,left,lane,busway
16237812,cycleway,lane,regular
16237812,highway,secondary,regular
16237812,lanes,2,regular
16237812,bus,1,lanes
16237812,maxspeed,50,regular
16237812,name,Ruska,regular
16237812,oneway,yes,regular
16237812,maxspeed,PL:urban,source
16237812,surface,asphalt,regular
16237812,lanes,left|left|through,turn
16237812,lanes,no|yes|no,vehicle
16237814,highway,secondary,regular
16237814,lanes,2,regular
16237814,maxspeed,50,regular
16237814,conditional,60 @ (23:00-05:00),maxspeed
16237814,name,Świętego Mikołaja,regular
16237814,oneway,yes,regular
16237814,maxspeed,PL:urban,source
16237814,surface,asphalt,regular
16237816,lanes,no|yes,bicycle
16237816,cycleway,lane,regular
16237816,highway,tertiary,regular
16237816,lanes,1,regular
16237816,maxspeed,50,regular
16237816,name,Białoskórnicza,regular
16237816,oneway,yes,regular
16237816,maxspeed,PL:urban,source
16237816,surface,asphalt,regular
16237816,lanes,through;right|through;right,turn
16237816,lanes,yes|no,vehicle
16237817,cycleway,lane,regular
16237817,highway,tertiary,regular
16237817,lanes,2,regular
16237817,maxspeed,50,regular
16237817,conditional,60 @ (23:00-05:00),maxspeed
16237817,name,Nowy Świat,regular
16237817,oneway,yes,regular
16237817,maxspeed,PL:urban,source
16237817,surface,asphalt,regular
16237817,lanes,through|through;right,turn
16237818,highway,secondary,regular
16237818,lanes,2,regular
16237818,layer,-1,regular
