id,user,uid,version,changeset,timestamp
16584758,rowers2,2445224,12,50134461,2017-07-08T16:07:57Z
16584759,rowers2,2445224,9,50134229,2017-07-08T15:57:52Z
16584760,rowers2,2445224,14,50134461,2017-07-08T16:07:57Z
16584761,rowers2,2445224,15,50134461,2017-07-08T16:07:57Z
16584763,rowers2,2445224,16,50134461,2017-07-08T16:07:58Z
16584765,rowers2,2445224,12,50134461,2017-07-08T16:07:58Z
16584767,rowers2,2445224,24,50132764,2017-07-08T14:40:13Z
16584769,rowers2,2445224,12,50134461,2017-07-08T16:07:58Z
16584770,jaarek,1458138,14,48585566,2017-05-11T09:08:24Z
16584771,jaarek,1458138,14,48912632,2017-05-23T10:12:06Z
16584773,rowers2,2445224,16,50134461,2017-07-08T16:07:58Z
16584774,Dotevo,476764,13,49811456,2017-06-25T10:53:41Z
16584776,rowers2,2445224,16,50132764,2017-07-08T14:40:13Z
16584777,rowers2,2445224,21,50132764,2017-07-08T14:40:14Z
16584779,rowers2,2445224,18,50132764,2017-07-08T14:40:14Z
16584780,rowers2,2445224,12,50254145,2017-07-13T10:24:46Z
16584781,rowers2,2445224,20,50078462,2017-07-06T08:36:18Z
16584785,wmyrda,1980824,16,51404903,2017-08-24T12:03:57Z
16584787,rowers2,2445224,13,50134461,2017-07-08T16:07:58Z
16584788,rowers2,2445224,16,50134461,2017-07-08T16:07:59Z
16584790,rowers2,2445224,13,50134461,2017-07-08T16:07:59Z
16584792,rowers2,2445224,18,50134461,2017-07-08T16:07:59Z
16584794,rowers2,2445224,15,50664761,2017-07-29T06:51:44Z
16584796,rowers2,2445224,22,51086307,2017-08-13T16:17:12Z
16584798,rowers2,2445224,10,50492161,2017-07-23T02:57:00Z
16636220,maraf24,2098272,10,54875406,2017-12-23T23:33:00Z
16636223,rowers2,2445224,11,50427981,2017-07-20T09:58:17Z
16636225,rowers2,2445224,12,44951290,2017-01-06T12:09:08Z
16636227,lukaszww,488840,14,26166475,2014-10-18T09:18:35Z
16636229,rowers2,2445224,15,50134229,2017-07-08T15:57:52Z
16636234,rowers2,2445224,19,50134229,2017-07-08T15:57:52Z
16636236,maraf24,2098272,14,35907465,2015-12-12T11:53:12Z
16636239,Dotevo,476764,18,48989028,2017-05-26T04:03:38Z
16636241,Dotevo,476764,16,47637035,2017-04-10T19:57:52Z
16636244,rowers2,2445224,20,50134229,2017-07-08T15:57:52Z
16636245,wmyrda,1980824,15,51404903,2017-08-24T12:03:57Z
16752074,maraf24,2098272,12,33403935,2015-08-17T22:01:58Z
16752075,maraf24,2098272,27,55063563,2017-12-31T18:01:29Z
16752077,maraf24,2098272,27,55063563,2017-12-31T18:01:29Z
16752080,rowers2,2445224,21,50893204,2017-08-06T18:38:18Z
16752081,rowers2,2445224,29,50893213,2017-08-06T18:38:41Z
16752083,wmyrda,1980824,19,51404903,2017-08-24T12:03:57Z
16752086,rowers2,2445224,4,34419887,2015-10-04T05:34:24Z
16752094,wmyrda,1980824,11,51404903,2017-08-24T12:03:57Z
16752096,Daniel Pustuła,6385343,10,51251205,2017-08-19T10:01:07Z
16752097,rowers2,2445224,8,45266524,2017-01-18T10:18:48Z
16752099,rowers2,2445224,14,50134229,2017-07-08T15:57:53Z
16752103,Karol Stosiek,457054,3,8254139,2011-05-26T14:32:56Z
16752105,wmyrda,1980824,10,51404903,2017-08-24T12:03:57Z
16752108,maraf24,2098272,10,39230028,2016-05-10T22:56:48Z
16752109,Dotevo,476764,8,47645706,2017-04-11T05:09:53Z
16752111,rowers2,2445224,15,50134229,2017-07-08T15:57:53Z
16752115,rowers2,2445224,18,51394204,2017-08-24T05:06:52Z
16752117,LafarM,478109,21,54602066,2017-12-13T17:02:48Z
16752118,LafarM,478109,10,54602066,2017-12-13T17:02:48Z
16752120,RitterR,950182,17,53724736,2017-11-12T22:01:37Z
16752125,wmyrda,1980824,17,51404903,2017-08-24T12:03:58Z
16752126,wmyrda,1980824,16,51404903,2017-08-24T12:03:58Z
16752128,wmyrda,1980824,22,51404903,2017-08-24T12:03:58Z
16752132,rowers2,2445224,24,50134229,2017-07-08T15:57:53Z
16752134,Dotevo,476764,17,47701870,2017-04-12T17:26:34Z
16752136,rowers2,2445224,19,50134294,2017-07-08T16:00:18Z
16765433,jaarek,1458138,18,48585566,2017-05-11T09:20:50Z
16765434,LafarM,478109,14,54596139,2017-12-13T13:15:24Z
16765435,rowers2,2445224,18,44832928,2017-01-01T23:30:14Z
16765436,rowers2,2445224,17,50667679,2017-07-29T09:24:56Z
16765437,rowers2,2445224,8,45323250,2017-01-20T10:20:44Z
16804310,maraf24,2098272,6,26850843,2014-11-17T19:39:40Z
16804314,rowers2,2445224,5,50666389,2017-07-29T08:18:56Z
16804315,rowers2,2445224,6,45185446,2017-01-15T08:27:11Z
16804317,rowers2,2445224,5,45185446,2017-01-15T08:27:11Z
16804318,rowers2,2445224,7,50666389,2017-07-29T08:18:56Z
16804319,rowers2,2445224,8,51071864,2017-08-13T04:28:34Z
16804320,rowers2,2445224,10,50199300,2017-07-11T11:24:38Z
16804321,rowers2,2445224,6,50199300,2017-07-11T11:24:38Z
16804322,rowers2,2445224,7,50199300,2017-07-11T11:24:39Z
16804323,wmyrda,1980824,13,51404903,2017-08-24T12:03:58Z
16804326,rowers2,2445224,8,50134760,2017-07-08T16:22:44Z
16804327,rowers2,2445224,7,33487891,2015-08-21T16:39:10Z
16804328,rowers2,2445224,23,49095212,2017-05-30T07:41:07Z
16804329,rowers2,2445224,8,50139430,2017-07-08T20:45:26Z
16804330,rowers2,2445224,8,50139430,2017-07-08T20:45:27Z
16804331,rowers2,2445224,12,50139430,2017-07-08T20:45:27Z
16804332,Ancymon,1593161,4,51166472,2017-08-16T10:30:07Z
16804335,rowers2,2445224,12,50077903,2017-07-06T08:09:23Z
16804336,jaarek,1458138,12,48585566,2017-05-11T09:21:35Z
16804338,one_half_3544,95117,22,46582678,2017-03-04T21:26:52Z
16804339,Ancymon,1593161,19,50880529,2017-08-06T10:21:23Z
16804341,rowers2,2445224,16,50139430,2017-07-08T20:45:27Z
16804344,rowers2,2445224,24,45269816,2017-01-18T13:02:18Z
16804346,wmyrda,1980824,15,51404903,2017-08-24T12:03:58Z
16804347,rowers2,2445224,10,50139430,2017-07-08T20:45:27Z
16804348,rowers2,2445224,12,50077903,2017-07-06T08:09:23Z
16804350,rowers2,2445224,7,50199300,2017-07-11T11:24:40Z
16804352,rowers2,2445224,5,50199300,2017-07-11T11:24:40Z
16804354,rowers2,2445224,7,45184861,2017-01-15T07:34:21Z
16804356,rowers2,2445224,9,50133296,2017-07-08T15:07:28Z
16804357,rowers2,2445224,7,50133296,2017-07-08T15:07:28Z
16804358,rowers2,2445224,9,50133296,2017-07-08T15:07:28Z
17275274,rowers2,2445224,8,45233489,2017-01-17T04:44:48Z
17275297,rowers2,2445224,17,50090807,2017-07-06T18:05:41Z
17775080,jaarek,1458138,12,48585566,2017-05-11T09:09:50Z
17787686,rowers2,2445224,15,50134760,2017-07-08T16:22:44Z
17787687,rowers2,2445224,30,50090375,2017-07-06T17:41:11Z
17787689,rowers2,2445224,15,50591442,2017-07-26T14:21:34Z
17787691,jjk786,4520880,18,51266685,2017-08-19T22:44:03Z
17787693,rowers2,2445224,9,33354095,2015-08-15T15:29:03Z
17787718,rowers2,2445224,15,50134760,2017-07-08T16:22:44Z
17909448,rowers2,2445224,19,50676283,2017-07-29T16:53:48Z
17909452,LafarM,478109,26,54601819,2017-12-13T16:50:14Z
17909454,rowers2,2445224,11,50226790,2017-07-12T10:58:37Z
17909458,rowers2,2445224,18,50679752,2017-07-29T20:20:51Z
