Street,Sym_ul
Ignacego Łukasiewicza,11749
Robotnicza,18695
Dobrzyńska,03995
Henryka Pobożnego,06602
Sukiennice,21539
Fryderyka Joliot-Curie,07591
Jana Żiżki,26472
Stanisława Dubois,04337
Władysława Łokietka,11653
Widok,24011
Świętej Doroty,04132
Kolejowa,08828
Benedyktyńska,01023
Karola Szajnochy,21728
Miła,12947
Eugeniusza Gepperta,05457
Sokolnicza,20491
Gdańska,05431
Plac Świętego Macieja,11834
Ścinawska,22302
Walecznych,23527
Ładna,11490
Księdza Piotra Skargi,20010
Marszałka Józefa Piłsudskiego,16274
Nożownicza,14540
Przejście Garncarskie,17703
Plac Icchaka Lejba Pereca,15940
Kotlarska,09613
Odona Bujwida,02385
Rozbrat,18932
Kuźnicza,10527
Trzemeska,23091
Kardynała Bolesława Kominka,09062
Henryka Probusa,06604
Wincentego Stysia,21486
Litomska,11225
Myśliwska,13563
Plac Strzelecki,21384
Swobodna,21625
Przeskok,17763
Drzewna,04308
Tadeusza Rejtana,18575
Iwana Pawłowa,15865
Franklina Delano Roosevelta,18857
Staromłyńska,20958
Generała Władysława Sikorskiego,19907
Kapitulna,07983
Wyspa Tamka,22623
Powstańców Śląskich,17366
Zyndrama z Maszkowic,26352
Pszenna,18049
Garbary,05321
Łukasza Górnickiego,05961
Tadeusza Zielińskiego,21625
Kardynała Stefana Wyszyńskiego,25107
Wszystkich Świętych,24895
Józefa Marii Hoene-Wrońskiego,06685
Kurzy Targ,10482
Cypriana Kamila Norwida,14319
Dworcowa,04434
Kazimierza Jagiellończyka,08259
Wyspa Bielarska,01246
Tęczowa,22777
Świętej Marii Magdaleny,12351
Henryka Sienkiewicza,19834
Kurkowa,10444
Żelazna,26433
Benedykta Polaka,16965
Poznańska,17394
Salezjańska,19433
Żabia Ścieżka,26369
Jana Henryka Pestalozziego,27748
Komandorska,09024
Krowia,09971
Mazowiecka,12540
Świętego Wincentego,24330
Psie Budy,18023
Ptasia,18056
Ratusz,18487
Jedności Narodowej,07435
Ukryta,23329
